Input 1.000 current 9.9984101e-04 Step 9.9984101e-07 cap_voltage 1.5998728e-04 Current time                 1060
Input 1.000 current 9.9982102e-04 Step 9.9982102e-07 cap_voltage 1.7998389e-04 Current time                 1080
Input 1.000 current 9.9980102e-04 Step 9.9980102e-07 cap_voltage 1.9998010e-04 Current time                 1100
Input 1.000 current 9.9978102e-04 Step 9.9978102e-07 cap_voltage 2.1997591e-04 Current time                 1120
Input 1.000 current 9.9976103e-04 Step 9.9976103e-07 cap_voltage 2.3997132e-04 Current time                 1140
Input 1.000 current 9.9974103e-04 Step 9.9974103e-07 cap_voltage 2.5996633e-04 Current time                 1160
Input 1.000 current 9.9972104e-04 Step 9.9972104e-07 cap_voltage 2.7996094e-04 Current time                 1180
Input 1.000 current 9.9970104e-04 Step 9.9970104e-07 cap_voltage 2.9995515e-04 Current time                 1200
Input 1.000 current 9.9968105e-04 Step 9.9968105e-07 cap_voltage 3.1994897e-04 Current time                 1220
Input 1.000 current 9.9966106e-04 Step 9.9966106e-07 cap_voltage 3.3994238e-04 Current time                 1240
Input 1.000 current 9.9964106e-04 Step 9.9964106e-07 cap_voltage 3.5993539e-04 Current time                 1260
Input 1.000 current 9.9962107e-04 Step 9.9962107e-07 cap_voltage 3.7992800e-04 Current time                 1280
Input 1.000 current 9.9960108e-04 Step 9.9960108e-07 cap_voltage 3.9992021e-04 Current time                 1300
Input 1.000 current 9.9958109e-04 Step 9.9958109e-07 cap_voltage 4.1991202e-04 Current time                 1320
Input 1.000 current 9.9956110e-04 Step 9.9956110e-07 cap_voltage 4.3990343e-04 Current time                 1340
Input 1.000 current 9.9954111e-04 Step 9.9954111e-07 cap_voltage 4.5989445e-04 Current time                 1360
Input 1.000 current 9.9952111e-04 Step 9.9952111e-07 cap_voltage 4.7988506e-04 Current time                 1380
Input 1.000 current 9.9950112e-04 Step 9.9950112e-07 cap_voltage 4.9987527e-04 Current time                 1400
Input 1.000 current 9.9948113e-04 Step 9.9948113e-07 cap_voltage 5.1986508e-04 Current time                 1420
Input 1.000 current 9.9946114e-04 Step 9.9946114e-07 cap_voltage 5.3985450e-04 Current time                 1440
Input 1.000 current 9.9944116e-04 Step 9.9944116e-07 cap_voltage 5.5984351e-04 Current time                 1460
Input 1.000 current 9.9942117e-04 Step 9.9942117e-07 cap_voltage 5.7983212e-04 Current time                 1480
Input 1.000 current 9.9940118e-04 Step 9.9940118e-07 cap_voltage 5.9982034e-04 Current time                 1500
