          0 ,   201 ,  2009
          1 ,   400 ,  1960
          2 ,   595 ,  1892
          3 ,   784 ,  1806
          4 ,   965 ,  1703
          5 ,  1138 ,  1583
          6 ,  1299 ,  1448
          7 ,  1448 ,  1299
          8 ,  1583 ,  1138
          9 ,  1703 ,   965
         10 ,  1806 ,   784
         11 ,  1892 ,   595
         12 ,  1960 ,   400
         13 ,  2009 ,   201
         14 ,  2038 ,     0
         15 ,  2038 ,     0
         16 ,  2009 ,  -201
         17 ,  1960 ,  -400
         18 ,  1892 ,  -595
         19 ,  1806 ,  -784
         20 ,  1703 ,  -965
         21 ,  1583 , -1138
         22 ,  1448 , -1299
         23 ,  1299 , -1448
         24 ,  1138 , -1583
         25 ,   965 , -1703
         26 ,   784 , -1806
         27 ,   595 , -1892
         28 ,   400 , -1960
         29 ,   201 , -2009
         30 ,     0 , -2038
         31 ,     0 , -2038
         32 ,  -201 , -2009
         33 ,  -400 , -1960
         34 ,  -595 , -1892
         35 ,  -784 , -1806
         36 ,  -965 , -1703
         37 , -1138 , -1583
         38 , -1299 , -1448
         39 , -1448 , -1299
         40 , -1583 , -1138
         41 , -1703 ,  -965
         42 , -1806 ,  -784
         43 , -1892 ,  -595
         44 , -1960 ,  -400
         45 , -2009 ,  -201
         46 , -2038 ,     0
         47 , -2038 ,     0
         48 , -2009 ,   201
         49 , -1960 ,   400
         50 , -1892 ,   595
         51 , -1806 ,   784
         52 , -1703 ,   965
         53 , -1583 ,  1138
         54 , -1448 ,  1299
         55 , -1299 ,  1448
         56 , -1138 ,  1583
         57 ,  -965 ,  1703
         58 ,  -784 ,  1806
         59 ,  -595 ,  1892
         60 ,  -400 ,  1960
         61 ,  -201 ,  2009
         62 ,     0 ,  2038
         63 ,     0 ,  2038
         64 ,   201 ,  2009
         65 ,   400 ,  1960
         66 ,   595 ,  1892
         67 ,   784 ,  1806
         68 ,   965 ,  1703
         69 ,  1138 ,  1583
         70 ,  1299 ,  1448
         71 ,  1448 ,  1299
         72 ,  1583 ,  1138
         73 ,  1703 ,   965
         74 ,  1806 ,   784
         75 ,  1892 ,   595
         76 ,  1960 ,   400
         77 ,  2009 ,   201
         78 ,  2038 ,     0
         79 ,  2038 ,     0
         80 ,  2009 ,  -201
         81 ,  1960 ,  -400
         82 ,  1892 ,  -595
         83 ,  1806 ,  -784
         84 ,  1703 ,  -965
         85 ,  1583 , -1138
         86 ,  1448 , -1299
         87 ,  1299 , -1448
         88 ,  1138 , -1583
         89 ,   965 , -1703
         90 ,   784 , -1806
         91 ,   595 , -1892
         92 ,   400 , -1960
         93 ,   201 , -2009
         94 ,     0 , -2038
         95 ,     0 , -2038
         96 ,  -201 , -2009
         97 ,  -400 , -1960
         98 ,  -595 , -1892
         99 ,  -784 , -1806
        100 ,  -965 , -1703
        101 , -1138 , -1583
        102 , -1299 , -1448
        103 , -1448 , -1299
        104 , -1583 , -1138
        105 , -1703 ,  -965
        106 , -1806 ,  -784
        107 , -1892 ,  -595
        108 , -1960 ,  -400
        109 , -2009 ,  -201
        110 , -2038 ,     0
        111 , -2038 ,     0
        112 , -2009 ,   201
        113 , -1960 ,   400
        114 , -1892 ,   595
        115 , -1806 ,   784
        116 , -1703 ,   965
        117 , -1583 ,  1138
        118 , -1448 ,  1299
        119 , -1299 ,  1448
        120 , -1138 ,  1583
        121 ,  -965 ,  1703
        122 ,  -784 ,  1806
        123 ,  -595 ,  1892
        124 ,  -400 ,  1960
        125 ,  -201 ,  2009
        126 ,     0 ,  2038
        127 ,     0 ,  2038
        128 ,   201 ,  2009
        129 ,   400 ,  1960
        130 ,   595 ,  1892
        131 ,   784 ,  1806
        132 ,   965 ,  1703
        133 ,  1138 ,  1583
        134 ,  1299 ,  1448
        135 ,  1448 ,  1299
        136 ,  1583 ,  1138
        137 ,  1703 ,   965
        138 ,  1806 ,   784
        139 ,  1892 ,   595
        140 ,  1960 ,   400
        141 ,  2009 ,   201
        142 ,  2038 ,     0
        143 ,  2038 ,     0
        144 ,  2009 ,  -201
        145 ,  1960 ,  -400
        146 ,  1892 ,  -595
        147 ,  1806 ,  -784
        148 ,  1703 ,  -965
        149 ,  1583 , -1138
        150 ,  1448 , -1299
        151 ,  1299 , -1448
        152 ,  1138 , -1583
        153 ,   965 , -1703
        154 ,   784 , -1806
        155 ,   595 , -1892
        156 ,   400 , -1960
        157 ,   201 , -2009
        158 ,     0 , -2038
        159 ,     0 , -2038
        160 ,  -201 , -2009
        161 ,  -400 , -1960
        162 ,  -595 , -1892
        163 ,  -784 , -1806
        164 ,  -965 , -1703
        165 , -1138 , -1583
        166 , -1299 , -1448
        167 , -1448 , -1299
        168 , -1583 , -1138
        169 , -1703 ,  -965
        170 , -1806 ,  -784
        171 , -1892 ,  -595
        172 , -1960 ,  -400
        173 , -2009 ,  -201
        174 , -2038 ,     0
        175 , -2038 ,     0
        176 , -2009 ,   201
        177 , -1960 ,   400
        178 , -1892 ,   595
        179 , -1806 ,   784
        180 , -1703 ,   965
        181 , -1583 ,  1138
        182 , -1448 ,  1299
        183 , -1299 ,  1448
        184 , -1138 ,  1583
        185 ,  -965 ,  1703
        186 ,  -784 ,  1806
        187 ,  -595 ,  1892
        188 ,  -400 ,  1960
        189 ,  -201 ,  2009
        190 ,     0 ,  2038
        191 ,     0 ,  2038
